list_id,family,crawl_date,price_vnd_fresh,price_vnd_historical,observed_price_difference_vnd
133711790,VF5,2026-09-13T02:26:32.523060+00:00,446000000,446000000,0
131173750,VF6,2026-09-13T02:26:32.523060+00:00,582000000,582000000,0
132209343,VF2,2026-09-13T02:26:32.523060+00:00,100000000,100000000,0
134481129,VF3,2026-09-13T02:26:32.523060+00:00,191000000,191000000,0
132125848,Limo Green,2026-09-13T02:26:32.523060+00:00,660000000,660000000,0
134611709,VF7,2026-09-13T02:26:32.523060+00:00,720000000,720000000,0
133679636,MPV7,2026-09-13T02:26:32.523060+00:00,705000000,705000000,0
134284878,VF5,2026-09-13T02:26:32.523060+00:00,430000000,430000000,0
131122728,Limo Green,2026-09-13T02:26:32.523060+00:00,624000000,624000000,0
128184187,VF5,2026-09-13T02:26:32.523060+00:00,366000000,366000000,0
133839004,VF3,2026-09-13T02:26:32.523060+00:00,280000000,280000000,0
134611629,VF5,2026-09-13T02:26:32.523060+00:00,471000000,471000000,0
134326729,VF3,2026-09-13T02:26:32.523060+00:00,249000000,258000000,-9000000
134143991,VF3,2026-09-13T02:26:32.523060+00:00,278000000,278000000,0
133011626,MPV7,2026-09-13T02:26:32.523060+00:00,650000000,650000000,0
134564899,VF5,2026-09-13T02:26:32.523060+00:00,444000000,444000000,0
134611965,Limo Green,2026-09-13T02:26:32.523060+00:00,664000000,664000000,0
134611952,VF6,2026-09-13T02:26:32.523060+00:00,570000000,570000000,0
134577748,MPV7,2026-09-13T02:26:32.523060+00:00,703000000,703000000,0
133690662,VF7,2026-09-13T02:26:32.523060+00:00,780000000,780000000,0
133869759,EC VAN,2026-09-13T02:26:32.523060+00:00,248000000,248000000,0
134610554,VF6,2026-09-13T02:26:32.523060+00:00,660000000,660000000,0
132844961,VF5,2026-09-13T02:26:32.523060+00:00,410000000,410000000,0
